att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,irrelevant_att11,irrelevant_att12,irrelevant_att13,irrelevant_att14,irrelevant_att15,irrelevant_att16,irrelevant_att17,irrelevant_att18,irrelevant_att19,irrelevant_att20
-0.031622,-0.47718,-0.181023,0.064071,-0.062713,-0.002982,0.060649,0.128288,-0.541066,-0.292624,-0.028031,0.580579,-0.812856,-0.546674,0.853053,0.888241,-0.656191,0.781398,0.204866,-0.121056
0.446267,0.019916,-0.261311,-0.004475,-0.31781,-0.278315,-0.092809,0.422326,-0.087065,0.032363,0.570821,0.903307,-0.726657,-0.197073,-0.397531,-0.829315,0.064563,0.690851,-0.412573,0.204705
0.195934,-0.62625,-0.008986,-0.193311,-0.196848,0.06443,0.118518,-0.06482,0.042705,0.025551,-0.064014,0.875111,-0.744698,-0.36941,-0.05748,0.136594,0.912885,0.938461,0.870834,0.016265
-0.47495,0.05829,0.046902,-0.508283,-0.067034,-0.075878,0.140562,-0.200748,-0.217865,0.041533,0.684931,0.061648,0.311335,-0.487426,-0.013378,0.351479,0.345756,-0.620156,0.599579,-0.972045
0.250588,-0.092662,-0.261641,0.584406,0.239399,-0.072503,0.073585,-0.092032,-0.064119,0.014605,0.469311,0.549426,0.920584,0.898604,0.219897,-0.185454,-0.038071,0.163212,0.652812,0.851423
-0.209991,0.354533,0.485148,0.184001,-0.221423,-0.072489,0.264654,-0.053347,0.030268,-0.009215,0.504575,0.460001,-0.721975,0.893369,-0.559926,0.95922,-0.632016,0.931211,-0.215534,0.273025
0.071123,0.146174,-0.032203,-0.73161,0.058449,-0.07998,-0.059247,-0.111528,-0.224169,-0.05153,-0.352479,0.182547,-0.892871,0.225879,0.293399,-0.24605,-0.810156,0.117623,-0.100436,-0.085591
0.11429,0.210903,-0.202492,-0.644428,0.095771,-0.096688,-0.355469,0.026905,-0.0489,-0.001395,-0.383941,-0.988241,-0.394815,0.204911,-0.312336,0.79434,0.936091,-0.27177,0.57629,0.274311
0.340564,0.315472,0.053307,-0.052149,-0.226578,0.395787,0.099389,-0.006835,-0.196823,-0.076392,-0.9238,0.394603,0.938462,0.433987,-0.735915,0.643146,0.358668,-0.911238,0.800818,-0.784519
0.093536,0.727067,-0.011266,0.164236,-0.07074,0.154732,-0.007033,0.085386,0.017331,-0.172686,-0.068306,-0.321954,0.758748,-0.072819,0.055321,-0.315215,-0.103106,-0.935688,0.076764,-0.731144
-0.017098,-0.038668,-0.06195,0.541975,-0.063327,0.289198,0.11888,0.07488,0.014227,-0.203561,0.517139,-0.973547,0.82099,0.099973,0.03645,-0.855758,-0.773694,0.088655,0.903817,-0.781372
-0.02011,0.443589,0.186526,-0.181852,-0.060175,0.201153,0.13178,0.027175,-0.198577,0.072798,0.322401,-0.26079,-0.843322,-0.739355,-0.391729,0.186535,0.390072,0.154676,0.522219,-0.371018
-0.031935,0.132945,-0.05138,-0.541094,-0.385644,0.157845,-0.282398,-0.198044,-0.044763,-0.230726,-0.797214,0.524807,-0.856596,-0.167623,0.288294,0.953002,-0.475831,-0.344299,0.254275,-0.12049
0.102157,-0.053057,0.471669,0.12702,-0.03881,0.251265,-0.10978,-0.148299,0.107961,-0.048255,0.124642,0.136828,0.983044,0.009994,0.705872,-0.422907,-0.113796,-0.139425,-0.264971,-0.723628
0.186014,-0.496217,-0.061597,0.038048,0.376528,-0.104257,0.035352,0.144125,0.2454,0.038685,-0.239602,0.191078,0.865965,-0.904273,-0.883005,-0.491565,-0.619315,0.862577,0.837113,0.566325
0.113354,0.131709,0.49081,0.121724,-0.208626,-0.060593,-0.290453,-0.065507,-0.020003,-0.314384,-0.387935,0.783738,0.794355,0.843788,0.315401,-0.505438,0.691187,0.354668,0.716141,0.147808
-0.241942,0.213558,0.444109,-0.152554,-0.037293,0.172004,0.09041,-0.370028,0.030897,-0.138215,0.770867,-0.178596,-0.466569,-0.966244,0.295379,-0.759189,0.663854,-0.376532,0.720821,-0.823855
0.237277,0.284896,-0.267201,-0.358739,0.006863,-0.039541,-0.208882,-0.005005,-0.049259,0.532502,0.407023,-0.359991,0.355232,0.728876,0.124433,-0.212214,-0.050167,-0.924746,-0.954727,0.108122
-0.019542,0.239381,0.161839,0.056765,0.321731,-0.222243,0.071194,-0.397833,0.173653,-0.315734,0.153192,-0.303146,0.567639,-0.420502,0.048839,-0.009014,-0.149148,0.543849,-0.899645,-0.184074
-0.272935,-0.06246,0.396445,0.014937,0.143014,-0.334465,0.26397,-0.389877,-0.137264,0.094332,0.754394,-0.18435,0.743998,0.707636,0.251167,0.918441,0.597424,0.998717,0.327626,0.793814
-0.411552,0.582004,0.000942,-0.004284,0.170473,0.007071,-0.029874,0.031727,-0.150277,0.203384,-0.205911,0.877031,-0.919469,-0.459204,0.306432,-0.459462,0.229892,-0.731069,0.286951,0.036542
0.259772,-0.132671,-0.614825,0.020088,-0.007003,0.130139,-0.148728,-0.002618,-0.024405,-0.405238,-0.41011,-0.013733,-0.565204,0.117689,0.174358,0.593853,-0.813462,-0.496312,0.560678,-0.478795
-0.097606,0.371228,0.163913,0.206301,-0.174944,-0.578773,0.092786,-0.061407,-0.108637,-0.019664,0.133257,-0.693123,-0.10433,0.31265,-0.517858,0.061388,-0.500634,0.562286,0.60928,0.789816
-0.425534,0.309579,-0.185636,-0.117616,-0.54682,-0.058524,-0.029923,-0.005907,0.141754,-0.077209,-0.592694,-0.004271,0.791354,0.847921,0.389248,-0.790306,0.057467,0.907065,-0.008038,0.605841
0.08398,0.083722,-0.351326,-0.057055,-0.017831,-0.296471,0.213574,0.17749,0.414782,0.250193,-0.231675,-0.634333,0.976056,-0.60678,0.008551,-0.274817,0.151519,-0.815964,0.168879,-0.977322
-0.170029,-0.092096,-0.252147,0.095839,-0.003614,0.429059,-0.08782,-0.065306,-0.444746,0.31077,-0.936056,-0.329665,-0.80147,-0.718757,-0.756816,-0.855376,0.924061,-0.878846,-0.201594,0.215304
0.226032,0.152404,-0.435596,0.064227,0.239484,-0.017644,0.377175,0.155025,-0.073646,0.145312,-0.440491,-0.831225,0.028338,0.968207,-0.926339,0.706882,0.412706,0.038404,-0.566199,0.129213
0.104706,0.121698,-0.231636,0.15163,-0.064769,-0.054958,0.114631,-0.018229,-0.715038,-0.0629,-0.139324,0.581848,0.911288,0.193688,-0.585642,0.974309,0.612863,0.812884,0.740181,-0.784565
-0.297345,-0.060996,-0.012882,-0.24569,-0.040624,0.51514,0.028786,0.145034,0.065461,0.042019,-0.807443,-0.823008,-0.311752,-0.521306,0.302628,-0.626372,0.959515,-0.976702,0.757946,-0.649499
-0.325457,-0.236805,0.057541,-0.291262,-0.093186,0.016724,0.13117,-0.021452,0.341752,-0.048391,-0.507074,-0.227859,-0.383225,0.06109,-0.430625,-0.739842,-0.57811,-0.059883,-0.173333,0.370389
-0.025489,0.183138,-0.351501,0.098148,0.226199,-0.054621,-0.062173,0.528527,0.113564,0.064709,0.699535,-0.525245,-0.610618,0.300453,-0.520328,-0.430878,-0.860168,0.54,-0.920436,-0.356202
-0.083118,0.00073,-0.101608,0.175381,-0.27258,-0.070204,-0.120817,-0.050563,-0.314126,-0.511643,0.791064,-0.709891,-0.316325,0.968696,0.870112,-0.281495,0.356459,-0.403209,0.979498,-0.280176
0.378789,0.318153,0.244781,-0.005604,-0.062506,0.068668,0.23022,-0.07652,0.220094,0.020502,0.040555,-0.552164,-0.222792,-0.561909,0.821482,-0.414655,0.000172,-0.291078,0.280902,0.536741
0.06307,-0.109967,-0.215767,-0.044294,-0.298795,-0.187765,-0.378133,-0.062985,0.154574,0.457711,-0.446487,-0.208114,0.114049,0.625749,-0.802376,0.288838,-0.647052,0.71771,0.687357,0.981914
-0.07832,-0.148269,0.320468,0.462859,-0.184003,-0.096434,0.080637,-0.061422,0.042274,-0.475777,0.515544,0.522658,0.352433,-0.524695,-0.208115,-0.342358,0.055377,0.987773,-0.017968,0.038904
-0.048698,0.158285,0.004094,-0.073027,0.130682,-0.213764,0.009063,-0.67326,-0.050535,-0.24766,0.223113,0.418295,-0.683646,0.856174,0.220576,0.895105,0.51742,-0.624515,-0.280521,0.41878
-0.319151,0.199621,-0.170337,-0.062373,-0.015835,-0.117706,-0.043926,-0.511307,-0.122599,0.050714,0.503675,0.123536,0.912639,-0.077077,-0.011361,-0.3742,-0.565961,0.101384,-0.104636,-0.197821
-0.269481,-0.153583,0.102449,-0.027455,-0.312136,-0.495631,-0.220453,0.300726,0.35223,0.014375,-0.332953,0.688843,-0.015602,0.368185,-0.242007,0.531973,0.384528,-0.853762,-0.900414,-0.248698
0.513253,-0.211259,-0.192499,-0.049598,-0.121581,0.006126,-0.019655,-0.383093,0.098615,-0.056844,0.819093,-0.939177,0.308376,0.56926,-0.763338,-0.2271,0.792781,0.967816,-0.716599,0.403078
-0.15678,-0.141114,-0.11208,-0.167045,-0.050733,-0.007321,0.393415,-0.044807,0.278412,-0.401624,-0.107072,-0.760522,0.595448,-0.400272,0.270837,-0.291667,-0.75684,0.327331,0.739246,0.423187
-0.607161,-0.36305,0.095731,0.100438,-0.130486,-0.256234,0.037345,-0.056176,-0.118163,0.19607,-0.174909,-0.817986,0.039638,0.46276,-0.311933,-0.21464,-0.785221,-0.35672,-0.459224,0.864214
-0.019857,0.503165,-0.020979,0.139713,-0.002969,-0.217261,-0.056495,-0.062796,-0.47568,0.051557,0.168382,0.88171,-0.668234,-0.006648,-0.23577,-0.756759,-0.321215,-0.340464,0.389394,-0.210453
-0.189486,-0.057279,-0.696824,-0.037795,-0.015747,-0.077477,0.079925,0.083889,-0.124128,0.152197,-0.6351,-0.700419,-0.709072,0.744736,0.45786,-0.728258,0.192695,-0.791227,0.462669,0.338843
0.469832,-0.025665,0.236605,-0.071394,-0.332381,0.345054,-0.36516,-0.066635,-0.108926,-0.15228,-0.291264,-0.326426,-0.416641,-0.826782,-0.108117,0.934843,0.648473,0.637684,0.891045,0.643127
-0.720091,-0.059964,0.010442,-0.148235,-0.023977,-0.055566,-0.217869,0.135751,0.092135,0.013445,-0.454229,-0.846616,0.137894,0.700445,-0.884802,0.334508,0.743435,0.984247,-0.634838,0.251509
-0.234011,0.3734,0.247035,0.016931,-0.375825,-0.045333,-0.060478,-0.156512,-0.029362,0.188385,-0.142805,-0.53167,-0.394301,-0.821394,-0.373448,-0.289236,-0.366907,-0.512025,-0.909019,-0.108265
0.575144,-0.132167,-0.237436,-0.060573,0.254258,-0.172579,-0.02387,-0.052826,0.307111,0.13157,-0.545942,-0.527816,0.85576,-0.890384,0.203598,0.30808,-0.288062,0.481483,0.889165,0.119445
-0.04938,-0.273444,-0.165682,-0.069594,-0.544794,-0.043182,-0.008241,0.019823,0.032615,-0.082512,-0.495847,0.744665,0.384768,-0.847582,-0.504871,0.518799,-0.297808,-0.553214,0.23546,0.16329
-0.158589,-0.42254,0.074013,0.082204,-0.065496,-0.061236,0.3574,0.044409,-0.028213,-0.009332,-0.017498,-0.932089,-0.480435,-0.747079,0.879524,0.958185,-0.606574,-0.905216,0.048008,-0.226444
0.100368,-0.125832,-0.256699,-0.006921,-0.057198,0.143864,-0.661199,-0.050326,0.088693,-0.088333,-0.622961,-0.577434,-0.697296,0.689815,-0.925774,0.429645,0.680583,0.094941,-0.835242,-0.359694
0.063867,-0.101048,-0.526383,-0.059283,-0.219326,-0.060386,-0.52076,-0.047808,0.173609,-0.178729,0.116957,-0.672015,-0.591529,-0.231188,-0.26273,-0.8184,-0.261638,0.678926,-0.130146,0.754429
-0.22862,-0.062745,-0.220164,0.37666,0.362221,-0.001559,-0.011036,-0.554295,-0.047515,0.140825,-0.220628,-0.168097,0.800928,-0.578727,-0.798122,-0.801182,0.021687,-0.816964,0.203627,0.513536
-0.298645,-0.397478,-0.227984,-0.223081,-0.258204,0.153535,-0.046466,-0.351162,0.05906,0.018433,-0.74171,0.465119,0.111175,0.955481,0.929103,-0.447926,0.601584,-0.123228,-0.160431,0.277957
-0.060063,-0.122154,0.3352,-0.308373,0.413321,-0.082711,-0.16802,-0.038265,0.267241,-0.118681,0.367481,0.026184,0.903569,0.335967,0.183254,-0.127237,-0.528822,-0.372401,-0.722472,-0.905143
0.35267,0.107336,-0.019085,0.094631,-0.006403,-0.210242,0.487065,-0.26942,0.084694,0.038551,-0.553769,0.440686,-0.323272,-0.924347,-0.206886,0.927321,0.756887,0.334272,0.260728,0.346829
-0.570834,0.299308,0.147578,0.008099,-0.249737,-0.308142,0.380554,-0.061804,-0.048916,-0.022534,-0.374433,-0.778198,0.192586,0.845559,0.153049,0.924579,0.145513,0.164441,0.48172,0.8424
0.233226,0.219967,-0.068393,-0.370067,-0.302001,0.519882,0.290939,-0.116951,0.022956,-0.205174,0.705436,0.59687,-0.335176,-0.252749,0.367269,-0.236366,0.720542,-0.221487,0.636923,0.328233
0.003758,0.098647,-0.049826,0.008449,-0.082864,0.496538,-0.428906,0.093593,0.143673,-0.272149,-0.165388,0.293512,-0.383046,0.645084,-0.295537,0.867656,-0.746572,0.514749,-0.90988,-0.673694
-0.496099,-0.049559,-0.026447,-0.370146,0.400679,-0.278282,-0.114316,-0.010308,-0.203049,-0.040377,0.150051,-0.285547,0.521883,-0.409083,-0.603353,-0.221192,-0.187931,-0.665141,-0.787406,-0.375194
0.406824,0.058502,-0.050012,0.200198,-0.2309,-0.042458,0.083488,-0.151365,0.295725,0.249341,0.527843,0.969738,-0.628176,-0.953233,-0.095528,-0.679078,0.354513,0.851084,-0.186953,-0.498632
-0.054462,-0.064075,-0.681899,0.156666,0.170205,-0.058943,0.151399,-0.22564,0.060916,-0.025907,0.961609,0.457234,-0.65596,0.955724,-0.268127,-0.839307,0.327786,0.422095,-0.082927,-0.065018
0.315121,-0.023386,0.098432,0.213715,-0.309534,0.009575,-0.314843,-0.146688,-0.094573,-0.095337,-0.314733,-0.353271,0.999572,0.644277,0.887335,-0.912713,-0.222532,0.844591,0.997775,0.553237
0.083245,-0.290229,-0.358143,-0.121029,-0.000849,0.002372,0.520176,-0.058348,-0.170283,-0.025737,0.896051,0.970733,-0.214619,-0.242679,0.370283,0.637851,-0.787531,0.089906,0.121582,0.030527
0.109218,0.085065,0.56968,-0.042466,-0.041973,-0.218442,-0.195148,-0.02257,0.150782,-0.086241,-0.757955,-0.42154,0.843158,0.909016,-0.646932,-0.042755,0.611703,-0.368613,0.413064,0.047735
0.089312,0.090539,-0.263555,-0.013298,-0.097166,0.112125,0.021943,0.006748,0.514089,0.005667,-0.420774,-0.228059,0.629572,-0.761847,0.807352,0.410421,0.186688,0.7509,-0.15257,-0.026802
-0.066004,-0.135238,0.180963,-0.222284,-0.057023,0.222018,0.37993,-0.073613,0.358652,0.244081,-0.129763,0.599559,-0.97673,0.626725,-0.505135,0.662523,0.539403,0.655203,0.268607,-0.861778
-0.087704,-0.077103,0.175506,0.148864,-0.024038,0.085094,0.560075,0.074844,-0.432066,-0.046931,-0.48377,-0.001444,-0.634735,0.797267,-0.155555,-0.816565,0.922173,0.909768,0.354666,0.249116
-0.217153,-0.175715,-0.060712,-0.711329,-0.046253,0.119304,-0.019632,-0.010785,0.106193,0.103522,-0.559284,0.501438,0.214178,-0.048191,-0.860777,0.680009,0.691244,0.525017,0.192608,0.173851
0.205156,0.079109,0.111858,-0.048349,-0.080038,-0.065713,-0.008633,0.54808,-0.219505,-0.093608,-0.531562,-0.419751,-0.00956,0.937616,-0.460038,0.351493,0.554826,-0.294928,-0.606037,0.418549
-0.587677,-0.054494,-0.014349,-0.051148,0.093053,-0.209596,-0.462405,0.164924,-0.06209,-0.052149,0.081818,0.707214,0.659317,-0.711587,-0.795218,0.424123,-0.31256,0.770564,-0.974553,-0.79806
0.137044,-0.103671,0.587755,0.021447,-0.16655,-0.071395,-0.215216,-0.137875,0.064206,0.054464,0.643123,0.951167,0.218107,0.841679,-0.405523,0.752797,0.584743,-0.145442,-0.179471,-0.43952
-0.520885,-0.078572,-0.187209,-0.016694,-0.454835,0.015428,-0.056718,-0.220609,-0.074128,0.199526,0.323552,0.978846,0.096063,-0.798545,-0.029323,0.766166,0.066805,-0.314783,-0.515319,0.570569
-0.214497,-0.099512,-0.04489,-0.522073,-0.001561,-0.013342,-0.290605,-0.088782,0.039837,0.043237,-0.005935,-0.457972,0.265563,0.111568,0.126455,0.342248,-0.965093,0.93274,-0.25265,-0.964552
-0.002608,-0.209984,-0.03773,0.216684,-0.013938,-0.135463,-0.208358,0.527598,-0.05008,-0.163782,-0.549018,-0.459622,-0.449775,-0.88257,0.092431,0.782061,-0.58993,0.31491,0.016382,-0.887085
0.223376,-0.233119,-0.046791,0.068534,-0.088942,-0.038023,0.146251,0.373547,-0.309933,-0.100704,0.847559,0.471767,-0.518345,0.797726,-0.476316,0.62739,-0.375061,-0.190059,-0.043919,0.896814
-0.147825,0.152205,0.28885,-0.01691,-0.678182,-0.222828,-0.034344,-0.061629,0.150144,0.005612,0.887626,0.213998,0.314281,0.693952,-0.186772,0.155327,-0.370353,0.083394,-0.529926,-0.767282
0.060761,-0.689866,0.014755,-0.072191,-0.190791,0.00443,-0.315442,-0.077847,-0.087411,-0.141202,-0.95324,-0.397122,0.201267,-0.009313,0.846546,-0.232333,0.663607,-0.45517,-0.112564,0.649712
0.065646,-0.043507,0.530616,0.132095,-0.161301,-0.140871,0.186977,-0.050006,-0.098789,-0.078811,0.189505,0.941055,-0.160605,0.418648,0.390626,-0.250018,-0.873374,-0.461748,0.619307,-0.389332
-0.150933,-0.073155,0.184255,0.047446,0.462092,-0.014017,-0.265837,0.055363,0.161883,-0.006658,0.848316,0.431206,0.413527,0.963248,-0.887211,0.856577,0.373505,0.047907,-0.801074,0.988624
-0.279208,0.055855,0.02301,-0.088553,-0.548914,-0.096165,0.189827,-0.261204,-0.011638,-0.080333,-0.947263,0.398062,0.749773,-0.757848,-0.606429,0.51847,-0.193273,0.258772,-0.002831,-0.785606
0.156538,-0.341363,-0.154791,0.061643,0.419844,-0.053486,-0.164492,-0.413558,-0.071388,-0.063998,0.908737,0.150092,0.089984,0.125838,0.709454,-0.91203,0.433636,-0.578736,-0.393697,-0.361369
0.069365,-0.111784,-0.007363,0.292556,-0.077897,0.221432,-0.197002,0.094352,-0.555993,0.055025,-0.377659,-0.681915,-0.271073,0.856581,0.221809,-0.877376,0.300515,-0.914134,0.025793,0.820112
-0.074912,-0.060726,-0.009681,0.065909,-0.498389,-0.019735,0.091245,0.025313,-0.527961,-0.2182,0.863997,0.660424,0.341257,-0.104299,-0.843852,-0.748158,-0.339658,0.030351,-0.483882,-0.517955
-0.16141,0.163166,0.415832,-0.135759,0.46169,-0.219864,0.037225,0.066454,-0.007615,0.101509,-0.662845,0.590836,-0.369051,0.600029,-0.040412,0.421016,0.149141,-0.484079,0.991206,0.341905
0.624263,-0.246111,-0.008624,0.232675,-0.096652,-0.090321,0.034814,-0.217441,0.0537,-0.048176,-0.765643,-0.707727,-0.044529,-0.019048,0.484856,-0.688341,0.944345,0.076364,-0.189726,0.771257
-0.050312,0.144715,0.539767,-0.079818,-0.104069,-0.120731,-0.107795,-0.150138,-0.036731,-0.050339,-0.444418,-0.759851,0.835878,-0.100748,0.49779,0.313999,-0.804556,-0.655441,-0.950408,-0.085017
-0.251318,-0.054885,0.056559,-0.383264,-0.136349,-0.044165,0.37957,-0.504428,-0.070537,-0.169677,-0.322586,-0.439553,0.319,-0.456571,0.60501,0.684358,0.821376,-0.286744,-0.940504,-0.589702
-0.050139,-0.18521,-0.197402,-0.15128,-0.054351,0.14605,-0.272117,0.470156,0.032797,-0.007298,-0.720897,-0.034569,0.596799,0.656846,-0.256612,-0.661928,-0.038788,0.452964,0.148352,-0.107845
-0.262051,0.058123,-0.031945,-0.664408,0.109931,-0.345012,0.125483,-0.032999,-0.074115,0.140546,0.96591,0.395423,-0.770156,0.229645,0.18854,-0.72419,0.376183,0.591274,0.42116,0.031721
-0.195297,-0.521333,0.330748,0.083004,-0.268569,-0.127389,0.013646,-0.074309,-0.050806,0.223057,0.425287,0.084071,-0.082699,0.045875,0.682424,-0.135848,0.394957,-0.001465,0.505084,-0.31185
0.146874,0.33741,0.162069,0.05836,-0.139425,-0.07332,0.24103,-0.44502,-0.079044,0.140601,0.482831,0.972771,0.686226,-0.85292,-0.161849,-0.681292,0.564434,-0.890697,0.517916,-0.097919
-0.110966,0.359306,-0.019249,-0.034618,0.351033,0.018378,0.309071,-0.001444,0.19683,-0.136552,-0.700722,-0.575351,0.351438,0.794045,0.072428,-0.220337,0.040549,0.203304,0.109863,-0.255689
-0.107136,-0.282044,-0.284182,-0.076152,0.021854,0.470394,-0.064279,0.215055,-0.038987,-0.131424,-0.495124,-0.491683,-0.632257,-0.486619,-0.406909,0.616422,0.484324,0.621207,0.697067,-0.441594
0.132558,-0.032254,-0.227723,0.114844,-0.011432,-0.10245,-0.062272,0.112496,0.535829,-0.22357,0.172519,-0.003767,0.034375,-0.778849,-0.3875,-0.877685,0.405584,0.427668,0.600994,0.786576
-0.053358,0.041108,-0.065562,-0.206073,-0.035232,0.547017,0.132605,-0.025608,0.153811,-0.003736,-0.913666,0.192928,-0.776309,0.918978,0.180183,0.915573,-0.360554,0.366716,-0.763296,0.509712
-0.262776,0.136896,0.030073,-0.398305,0.315524,-0.171381,-0.521468,0.054851,-0.057043,-0.058729,-0.800277,-0.903119,-0.769611,-0.962331,0.574011,-0.71624,0.099367,0.273646,0.811664,0.012536
-0.012221,-0.003065,-0.566781,0.081056,0.179093,-0.31446,-0.170976,-0.197765,-0.021242,-0.169447,-0.041002,0.809965,-0.657055,0.919,0.833909,0.811651,0.806763,0.985341,-0.70694,-0.668243
-0.057411,0.068245,0.157364,0.122442,-0.101035,0.603828,-0.228801,0.159256,-0.05086,-0.070158,0.289884,-0.075093,0.725926,-0.780982,0.072175,-0.885731,-0.83608,0.080991,0.294664,0.868784
-0.181062,0.042046,-0.12754,-0.106615,-0.245801,-0.065202,-0.087729,0.328059,0.038364,0.378721,0.529679,0.510052,-0.897979,-0.991748,-0.012138,0.836206,0.758271,0.122151,-0.325376,-0.960168
-0.456046,0.338683,-0.091606,0.177461,0.102722,-0.007126,0.087511,-0.246223,-0.162071,-0.175837,0.994367,-0.280669,-0.501071,-0.86087,-0.581519,0.53492,0.93741,-0.638844,-0.795339,-0.332379
0.050904,-0.055537,-0.072369,-0.205577,-0.255738,0.18884,-0.080176,0.224515,-0.110555,-0.036043,-0.214526,0.71199,0.472746,0.933418,0.68088,-0.819274,-0.217786,0.84716,-0.117982,0.743587
-0.536933,-0.037333,-0.235874,-0.065341,-0.060163,0.102653,-0.079624,-0.295656,0.012265,0.216004,-0.015103,0.981327,-0.738336,-0.421358,0.316263,0.101709,-0.232042,0.45822,0.052222,0.442607
0.248926,-0.515914,-0.189583,0.410628,0.030781,0.011509,-0.149212,-0.071386,0.034258,0.158782,0.707905,0.155261,0.318204,-0.240445,0.124702,-0.1185,-0.290516,0.385451,-0.731309,-0.730513
0.14768,0.090145,0.149093,0.388553,0.137789,-0.053676,-0.157675,-0.019532,-0.00175,0.551895,0.266536,0.416389,0.702794,0.217131,-0.953567,0.366347,0.936756,0.032555,-0.958912,-0.844683
0.283888,-0.132687,-0.011176,-0.541986,0.039684,-0.319749,0.364356,-0.064058,-0.031592,-0.047948,0.650578,-0.251285,-0.484605,0.133305,0.546007,-0.778628,-0.026903,0.993067,0.655981,-0.31936
-0.271912,0.141475,-0.428236,0.236342,0.170738,0.463584,-0.069473,-0.062148,-0.033973,0.210515,-0.094528,0.887307,-0.454554,0.775475,0.237686,-0.158545,-0.747039,0.832123,-0.040057,-0.358944
-0.435686,-0.05835,-0.198414,-0.047481,-0.102048,-0.086478,0.447659,-0.034095,-0.155048,0.374743,0.051043,0.041667,0.815314,-0.22683,0.144197,0.598462,0.113404,0.71407,-0.722875,-0.5696
0.115581,0.056101,-0.079361,0.610455,-0.062563,-0.020652,-0.050144,-0.205818,0.138101,0.131724,0.748762,-0.119052,-0.108427,0.09356,0.325234,0.90319,0.94885,0.647964,-0.077795,0.519189
0.06141,0.093994,0.102577,0.225436,-0.164773,0.538952,-0.007385,0.035616,-0.04205,-0.042425,-0.173979,-0.112208,-0.514072,-0.632427,0.797315,-0.83146,-0.911047,-0.782921,0.528295,-0.744735
-0.156115,-0.06953,0.161779,-0.03078,0.03204,0.14394,-0.038651,-0.107375,-0.294506,-0.091061,-0.627129,-0.232779,-0.261128,-0.889815,0.374403,-0.947708,-0.267781,0.344546,-0.367887,0.694109
0.082299,-0.192424,0.498942,0.197993,0.298766,-0.081654,-0.059927,0.105048,-0.014769,-0.072921,0.840212,-0.821183,-0.019226,0.77432,-0.99801,-0.813092,0.762711,0.934983,0.670774,0.844242
0.075343,-0.056203,-0.715569,-0.058526,-0.00896,0.209754,-0.079317,-0.343288,-0.036147,0.068282,-0.679811,0.466497,-0.964909,-0.043832,0.580189,0.604885,0.144051,0.412315,-0.697333,-0.96421
-0.090832,0.137968,-0.121983,0.169283,-0.547606,-0.413407,-0.020159,-0.014813,-0.312054,0.045452,-0.057625,-0.605828,0.135694,-0.309534,0.449343,-0.842734,-0.994423,0.319404,-0.643115,0.815994
-0.164795,-0.1195,0.275665,0.014588,-0.52002,0.013459,0.038455,-0.305683,-0.130956,-0.105792,-0.432599,0.042153,0.175533,0.178284,0.451131,-0.902728,-0.277029,-0.391094,0.860728,-0.64577
